draw_number,date,day_of_week,num1,num2,num3,num4,num5,num6,additional_number,group1_prize,group1_winners,is_synthetic
3382,2018-06-25,Monday,2,5,25,38,44,48,9,0,0,False
3383,2018-06-28,Thursday,2,7,22,27,40,47,48,0,0,False
3384,2018-07-02,Monday,12,13,26,33,35,38,23,0,0,False
3385,2018-07-05,Thursday,8,11,28,30,32,34,39,0,0,False
3386,2018-07-09,Monday,6,23,31,38,39,43,33,0,0,False
3387,2018-07-12,Thursday,4,15,25,32,40,41,10,0,0,False
3388,2018-07-16,Monday,4,8,19,24,32,47,22,0,0,False
3389,2018-07-19,Thursday,13,14,23,35,37,46,45,0,0,False
3390,2018-07-23,Monday,2,23,26,28,39,40,12,0,0,False
3391,2018-07-26,Thursday,1,9,13,17,28,40,37,0,0,False
3392,2018-07-30,Monday,8,10,19,20,41,43,7,0,0,False
3393,2018-08-02,Thursday,1,10,15,27,41,46,35,0,0,False
3394,2018-08-06,Monday,7,18,20,27,36,40,15,0,0,False
3395,2018-08-09,Thursday,13,16,20,23,39,42,28,0,0,False
3396,2018-08-13,Monday,1,3,6,16,22,36,17,0,0,False
3397,2018-08-16,Thursday,22,23,25,32,33,36,20,0,0,False
3398,2018-08-20,Monday,9,10,25,38,40,42,2,0,0,False
3399,2018-08-23,Thursday,2,3,23,30,39,41,19,0,0,False
3400,2018-08-27,Monday,5,6,16,24,26,29,38,0,0,False
3401,2018-08-30,Thursday,3,9,27,29,31,40,46,0,0,False
3402,2018-09-03,Monday,4,5,13,18,39,40,3,0,0,False
3403,2018-09-06,Thursday,2,15,17,20,23,30,45,0,0,False
3404,2018-09-10,Monday,2,6,9,15,40,43,18,0,0,False
3405,2018-09-13,Thursday,6,16,17,40,44,48,34,0,0,False
3406,2018-09-17,Monday,16,21,22,24,25,27,1,0,0,False
3407,2018-09-20,Thursday,5,12,18,30,32,38,22,0,0,False
3408,2018-09-24,Monday,6,8,17,24,29,47,34,0,0,False
3409,2018-09-27,Thursday,2,25,29,33,42,45,20,0,0,False
3410,2018-10-01,Monday,11,15,23,24,32,40,43,0,0,False
3411,2018-10-04,Thursday,5,12,23,32,37,42,43,0,0,False
3412,2018-10-08,Monday,17,18,23,39,43,49,2,0,0,False
3413,2018-10-11,Thursday,1,16,18,24,29,46,35,0,0,False
3414,2018-10-15,Monday,1,4,24,32,35,48,20,0,0,False
3415,2018-10-18,Thursday,5,14,17,31,46,48,47,0,0,False
3416,2018-10-22,Monday,5,22,24,40,43,48,2,0,0,False
3417,2018-10-25,Thursday,7,8,13,15,35,48,30,0,0,False
3418,2018-10-29,Monday,2,6,10,20,28,31,30,0,0,False
3419,2018-11-01,Thursday,6,27,28,41,44,48,15,0,0,False
3420,2018-11-05,Monday,3,8,14,28,43,49,26,0,0,False
3421,2018-11-08,Thursday,8,13,16,26,28,38,46,0,0,False
3422,2018-11-12,Monday,4,12,21,34,41,47,33,0,0,False
3423,2018-11-15,Thursday,21,25,27,36,39,44,18,0,0,False
3424,2018-11-19,Monday,2,9,14,36,46,48,5,0,0,False
3425,2018-11-22,Thursday,11,17,20,21,27,30,33,0,0,False
3426,2018-11-26,Monday,16,22,28,31,38,46,33,0,0,False
3427,2018-11-29,Thursday,4,11,19,25,40,44,1,0,0,False
3428,2018-12-03,Monday,5,6,7,29,37,38,23,0,0,False
3429,2018-12-06,Thursday,5,9,16,18,23,47,19,0,0,False
3430,2018-12-10,Monday,4,10,14,26,39,44,48,0,0,False
3431,2018-12-13,Thursday,3,11,18,23,38,47,7,0,0,False
3432,2018-12-17,Monday,15,16,30,32,44,48,46,0,0,False
3433,2018-12-20,Thursday,7,12,15,30,33,39,48,0,0,False
3434,2018-12-24,Monday,3,5,12,17,29,39,31,0,0,False
3435,2018-12-27,Thursday,9,19,20,30,35,46,23,0,0,False
3436,2018-12-31,Monday,8,13,18,28,43,49,6,0,0,False
3437,2019-01-03,Thursday,12,22,26,37,40,47,33,0,0,False
3438,2019-01-07,Monday,1,2,36,39,41,42,37,0,0,False
3439,2019-01-11,Friday,1,2,13,18,41,47,46,0,0,False
3440,2019-01-14,Monday,10,13,21,27,34,40,41,0,0,False
3441,2019-01-17,Thursday,5,10,22,30,42,48,13,0,0,False
3442,2019-01-21,Monday,7,38,40,45,46,47,21,0,0,False
3443,2019-01-24,Thursday,3,4,18,32,41,44,34,0,0,False
3444,2019-01-28,Monday,6,11,19,33,35,38,45,0,0,False
